,district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
189,MD01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
190,MD02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
191,MD03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
192,MD04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
193,MD05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
194,MD06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
195,MD07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
196,MD08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
197,ME01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
198,ME02,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
199,MI01,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
200,MI02,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
201,MI03,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
202,MI04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
203,MI05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
204,MI06,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
205,MI07,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
206,MI08,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
207,MI09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
208,MI10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
209,MI11,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
210,MI12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
211,MI13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
212,MI14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
213,MN01,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
214,MN02,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
215,MN03,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
216,MN04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
217,MN05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
218,MN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
219,MN07,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
220,MN08,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
221,MO01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
222,MO02,Lean Republican,5,Solid Republican,7,Likely Republican,6,6
223,MO03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
224,MO04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
225,MO05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
226,MO06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
227,MO07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
228,MO08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
229,MS01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
230,MS02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
231,MS03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
232,MS04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
233,MT01,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
234,NC01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
235,NC02,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
236,NC03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
237,NC04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
238,NC05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
239,NC06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
240,NC07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
241,NC08,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
242,NC09,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
243,NC10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
244,NC11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
245,NC12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
246,NC13,Tossup,4,Tilt Republican,4.5,Lean Republican,5,4.5
247,ND01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
248,NE01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
249,NE02,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
250,NE03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
251,NH01,Likely Democratic,2,Lean Democratic,3,Likely Democratic,2,2.333333333
252,NH02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
253,NJ01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
254,NJ02,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
255,NJ03,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
256,NJ04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
257,NJ05,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
258,NJ06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
259,NJ07,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
260,NJ08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
261,NJ09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
262,NJ10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
263,NJ11,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
264,NJ12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
265,NM01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
266,NM02,Tossup,4,Tilt Republican,4.5,Lean Democratic,3,3.833333333
267,NM03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
268,NV01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
269,NV02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
270,NV03,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
271,NV04,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
272,NY01,Likely Republican,6,Solid Republican,7,Lean Republican,5,6
273,NY02,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
274,NY03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
275,NY04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
276,NY05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
277,NY06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
278,NY07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
279,NY08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
280,NY09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
281,NY10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
282,NY11,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
283,NY12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
284,NY13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
285,NY14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
286,NY15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
287,NY16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
288,NY17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
289,NY18,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
290,NY19,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
291,NY20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
292,NY21,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
293,NY22,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
294,NY23,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
295,NY24,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
296,NY25,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
297,NY26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
298,NY27,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
299,OH01,Lean Republican,5,Tilt Republican,4.5,Lean Republican,5,4.833333333
300,OH02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
301,OH03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
302,OH04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
303,OH05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
304,OH06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
305,OH07,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
306,OH08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
307,OH09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
308,OH10,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
309,OH11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
310,OH12,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
311,OH13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
312,OH14,Likely Republican,6,Likely Republican,6,Lean Republican,5,5.666666667
313,OH15,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
314,OH16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
315,OK01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
316,OK02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
317,OK03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
318,OK04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
319,OK05,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
320,OR01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
321,OR02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
322,OR03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
323,OR04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
324,OR05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
325,PA01,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
326,PA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
327,PA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
328,PA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
329,PA05,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
330,PA06,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
331,PA07,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
332,PA08,Likely Democratic,2,Lean Democratic,3,Likely Democratic,2,2.333333333
333,PA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
334,PA10,Tossup,4,Lean Republican,5,Lean Republican,5,4.666666667
335,PA11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
336,PA12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
337,PA13,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
338,PA14,Likely Republican,6,Likely Republican,6,Safe Republican,7,6.333333333
339,PA15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
340,PA16,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
341,PA17,Likely Democratic,2,Lean Democratic,3,Likely Democratic,2,2.333333333
342,PA18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
343,RI01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
344,RI02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
345,SC01,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
346,SC02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
347,SC03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
348,SC04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
349,SC05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
350,SC06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
351,SC07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
352,SD01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
353,TN01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
354,TN02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
355,TN03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
356,TN04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
357,TN05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
358,TN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
359,TN07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
360,TN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
361,TN09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
362,TX01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
363,TX02,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
364,TX03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
365,TX04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
366,TX05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
367,TX06,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
368,TX07,Tossup,4,Tilt Republican,4.5,Lean Republican,5,4.5
369,TX08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
370,TX09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
371,TX10,Likely Republican,6,Solid Republican,7,Safe Republican,7,6.666666667
372,TX11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
