year,district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
2020,CA14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA19,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA21,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
2020,CA22,Likely Republican,6,Solid Republican,7,Safe Republican,7,6.666666667
2020,CA23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,CA24,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA25,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
2020,CA26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA27,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA28,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA29,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA30,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA31,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA32,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA33,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA34,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA35,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA36,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA37,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA38,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA39,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
2020,CA40,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA41,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA42,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,CA43,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA44,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA45,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA46,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA47,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA48,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
2020,CA49,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA50,Lean Republican,5,Likely Republican,6,Likely Republican,6,5.666666667
2020,CA51,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA52,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA53,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CO01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CO02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CO03,Lean Republican,5,Tilt Republican,4.5,Lean Republican,5,4.833333333
2020,CO04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,CO05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,CO06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CO07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CT01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CT02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CT03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CT04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CT05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,DE00,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL15,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
2020,FL16,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
2020,FL17,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL18,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
2020,FL19,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL21,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL22,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL23,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL24,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,FL25,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,FL26,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
2020,FL27,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,GA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,GA03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,GA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,GA06,Likely Democratic,2,Likely Democratic,2,Likely Democratic,2,2
2020,GA07,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
2020,GA08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,GA13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,GA14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,HI01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,HI02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IA01,Tossup,4,Lean Democratic,3,Lean Democratic,3,3.333333333
2020,IA02,Tossup,4,Lean Democratic,3,Lean Democratic,3,3.333333333
2020,IA03,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
2020,IA04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,ID01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,ID02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IL01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IL12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IL13,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
2020,IL14,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,IL15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IL16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IL17,Lean Democratic,3,Solid Democratic,1,Likely Democratic,2,2
2020,IL18,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IN01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IN02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IN03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IN04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IN05,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
2020,IN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IN07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,IN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,IN09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KS01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KS02,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
2020,KS03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,KS04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KY01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KY02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KY03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,KY04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KY05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,KY06,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
2020,LA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,LA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,LA03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,LA04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,LA05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,LA06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MA01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MA09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MD02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MD08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,ME01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,ME02,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,MI01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MI02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MI03,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
2020,MI04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MI05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MI06,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
2020,MI07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MI08,Lean Democratic,3,Solid Democratic,1,Likely Democratic,2,2
2020,MI09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MI10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MI11,Lean Democratic,3,Solid Democratic,1,Likely Democratic,2,2
2020,MI12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MI13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MI14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MN01,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
2020,MN02,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,MN03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MN04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MN05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MN07,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
2020,MN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MO01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MO02,Tossup,4,Tilt Democratic,3.5,Lean Republican,5,4.166666667
2020,MO03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MO04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MO05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MO06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MO07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MO08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MS01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MS02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,MS03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MS04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,MT00,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
2020,NC01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NC02,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
2020,NC03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NC04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NC05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NC06,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
2020,NC07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NC08,Lean Republican,5,Tilt Republican,4.5,Lean Republican,5,4.833333333
2020,NC09,Lean Republican,5,Solid Republican,7,Likely Republican,6,6
2020,NC10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NC11,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
2020,NC12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NC13,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,ND00,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NE01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NE02,Tossup,4,Tilt Democratic,3.5,Lean Republican,5,4.166666667
2020,NE03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NH01,Likely Democratic,2,Likely Democratic,2,Likely Democratic,2,2
2020,NH02,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
2020,NJ01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ02,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
2020,NJ03,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,NJ04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NJ05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ07,Lean Democratic,3,Likely Democratic,2,Lean Democratic,3,2.666666667
2020,NJ08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NJ12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NM01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NM02,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
2020,NM03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NV01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NV02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NV03,Lean Democratic,3,Likely Democratic,2,Lean Democratic,3,2.666666667
2020,NV04,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,NY01,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
2020,NY02,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
2020,NY03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY11,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
2020,NY12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY18,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
2020,NY19,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,NY20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY21,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NY22,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
2020,NY23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,NY24,Tossup,4,Tilt Republican,4.5,Lean Republican,5,4.5
2020,NY25,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,NY27,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
2020,OH01,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
2020,OH02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,OH04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,OH10,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
2020,OH11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,OH12,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
2020,OH13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,OH14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OH16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OK01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OK02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OK03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OK04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OK05,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
2020,OR01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,OR02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,OR03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,OR04,Lean Democratic,3,Likely Democratic,2,Lean Democratic,3,2.666666667
2020,OR05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,PA01,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
2020,PA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,PA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,PA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,PA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,PA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,PA07,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,PA08,Lean Democratic,3,Solid Democratic,1,Likely Democratic,2,2
2020,PA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,PA10,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
2020,PA11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,PA12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,PA13,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,PA14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,PA15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,PA16,Likely Republican,6,Solid Republican,7,Safe Republican,7,6.666666667
2020,PA17,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
2020,PA18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,RI01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,RI02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,SC01,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
2020,SC02,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
2020,SC03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,SC04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,SC05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,SC06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,SC07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,SD00,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,TN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TN09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,TX01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,TX02,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
