district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
FL16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL17,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL18,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL19,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL21,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL22,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL23,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL24,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL25,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL26,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL27,Lean Republican,5,Likely Republican,6,Likely Republican,6,5.666666667
FL28,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA02,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
GA03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
GA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
GA06,Solid Republican,7,Likely Republican,6,Safe Republican,7,6.666666667
GA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
GA08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
GA13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
GA14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
HI01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
HI02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IA01,Lean Republican,5,Lean Republican,5,Likely Republican,6,5.333333333
IA02,Lean Republican,5,Tilt Republican,5,Likely Republican,6,5.333333333
IA03,Lean Republican,5,Tossup,4,Lean Republican,5,4.666666667
IA04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
ID01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
ID02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IL01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL06,Likely Democratic,2,Likely Democratic,2,Likely Democratic,2,2
IL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IL11,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
IL12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IL13,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
IL14,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
IL15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IL16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IL17,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
IN01,Tossup,4,Lean Democratic,3,Tossup,4,3.666666667
IN02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IN03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IN04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IN05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IN07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
IN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
IN09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KS01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KS02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KS03,Lean Democratic,3,Tilt Democratic,3,Tossup,4,3.333333333
KS04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KY01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KY02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KY03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
KY04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KY05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
KY06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
LA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
LA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
LA03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
LA04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
LA05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
LA06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MA01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MA09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MD01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MD02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MD03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MD04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MD05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MD06,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
MD07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MD08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
ME01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
ME02,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
MI01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MI02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MI03,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
MI04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MI05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MI06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MI07,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
MI08,Lean Democratic,3,Lean Democratic,3,Tossup,4,3.333333333
MI09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MI10,Likely Republican,6,Lean Republican,5,Lean Republican,5,5.333333333
MI11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MI12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MI13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MN01,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
MN02,Tossup,4,Tossup,4,Tossup,4,4
MN03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MN04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MN05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MN07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MO01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MO02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MO03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MO04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MO05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MO06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MO07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MO08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MS01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MS02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
MS03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MS04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
MT01,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
MT02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC01,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
NC02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NC03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NC05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC06,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
NC07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NC12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NC13,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
NC14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
ND00,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NE01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NE02,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
NE03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NH01,Tossup,4,Tilt Democratic,3,Lean Democratic,3,3.333333333
NH02,Lean Democratic,3,Likely Democratic,2,Likely Democratic,2,2.333333333
NJ01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NJ02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NJ03,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
NJ04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NJ05,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
NJ06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NJ07,Lean Republican,5,Tilt Republican,5,Lean Republican,5,5
NJ08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NJ09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NJ10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NJ11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NJ12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NM01,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
NM02,Tossup,4,Tossup,4,Tossup,4,4
NM03,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
NV01,Tossup,4,Tilt Democratic,3,Lean Democratic,3,3.333333333
NV02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NV03,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
NV04,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
NY01,Lean Republican,5,Tilt Republican,5,Lean Republican,5,5
NY02,Likely Republican,6,Lean Republican,5,Likely Republican,6,5.666666667
NY03,Lean Democratic,3,Tilt Democratic,3,Tossup,4,3.333333333
NY04,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
NY05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY11,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
NY12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY17,Tossup,4,Tilt Democratic,3,Lean Democratic,3,3.333333333
NY18,Lean Democratic,3,Tilt Democratic,3,Lean Democratic,3,3
NY19,Tossup,4,Tossup,4,Tossup,4,4
NY20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY21,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NY22,Tossup,4,Tossup,4,Tossup,4,4
NY23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NY24,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
NY25,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
NY26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
OH01,Tossup,4,Tossup,4,Tossup,4,4
OH02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
OH04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH09,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
OH10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
OH12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH13,Tossup,4,Tossup,4,Tossup,4,4
OH14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OH15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OK01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OK02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OK03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OK04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OK05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OR01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
OR02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
OR03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
OR04,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
OR05,Tossup,4,Tossup,4,Tossup,4,4
OR06,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
PA01,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
PA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
PA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
PA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
PA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
PA06,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
PA07,Tossup,4,Tossup,4,Tossup,4,4
PA08,Tossup,4,Tossup,4,Tossup,4,4
PA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA12,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
PA13,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
PA17,Tossup,4,Tossup,4,Tossup,4,4
RI01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
RI02,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
SC01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
SC02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
SC03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
SC04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
SC05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
SC06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
SC07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
SD00,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN05,Likely Republican,6,Likely Republican,6,Safe Republican,7,6.333333333
TN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TN09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX13,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX15,Likely Republican,6,Lean Republican,5,Likely Republican,6,5.666666667
TX16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX17,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX19,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX21,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX22,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX24,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX25,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX26,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX27,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX28,Lean Democratic,3,Lean Democratic,3,Tossup,4,3.333333333
TX29,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX30,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX31,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX32,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX33,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX34,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
TX35,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX36,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
TX37,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
TX38,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
UT01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
UT02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
UT03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
